"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"120",1991,"080305","Cabrils","21","Maresme","Metropolità","AT01",2826,2457,2443,1534,2887,98,85,85,53,97,81,78,51,95,73,72,46
"121",2011,"080312","Calaf","06","Anoia","Comarques Centrals","AT06",3320,2776,2842,2103,3409,97,81,83,62,98,86,88,66,99,91,91,72
"122",2001,"080312","Calaf","06","Anoia","Comarques Centrals","AT06",2832,2384,2419,1536,2922,97,82,83,53,98,87,85,63,99,91,89,68
"123",1996,"080312","Calaf","06","Anoia","Comarques Centrals","AT06",3013,2607,2510,1636,3101,97,84,81,53,98,89,84,55,99,93,88,60
"124",1991,"080312","Calaf","06","Anoia","Comarques Centrals","AT06",3071,2567,2505,1626,3141,98,82,80,52,98,85,79,52,99,90,83,54
"125",2011,"080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01",2602,2149,2176,1586,2659,98,81,82,60,98,83,86,64,97,79,82,61
"126",2001,"080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01",1811,1557,1523,1074,1878,96,83,81,57,97,82,81,57,96,78,78,54
"127",1996,"080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01",1664,1493,1408,901,1728,96,86,81,52,97,84,80,53,96,78,75,49
"128",1991,"080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01",1417,1243,1210,725,1436,99,87,84,50,97,81,78,51,95,73,72,46
"129",2011,"080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01",16400,13408,14284,10313,16704,98,80,86,62,97,81,84,62,97,79,82,61
"130",2001,"080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01",12908,10882,10670,7561,13461,96,81,79,56,96,81,79,56,96,78,78,54
"131",1996,"080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01",12187,10286,9960,6876,12547,97,82,79,55,96,81,77,51,96,78,75,49
"132",1991,"080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01",10678,8470,8039,5223,11085,96,76,73,47,96,77,75,49,95,73,72,46
"133",2011,"080348","Calders","42","Moianès","Comarques Centrals","AT06",924,830,829,653,925,100,90,90,71,99,90,90,72,99,91,91,72
"134",2001,"080348","Calders","42","Moianès","Comarques Centrals","AT06",763,708,681,548,769,99,92,89,71,99,92,90,68,99,91,89,68
"135",1996,"080348","Calders","42","Moianès","Comarques Centrals","AT06",628,582,557,408,632,99,92,88,65,99,94,90,64,99,93,88,60
"136",1991,"080348","Calders","42","Moianès","Comarques Centrals","AT06",567,508,498,372,568,100,89,88,65,99,91,87,61,99,90,83,54
"137",2011,"080351","Calella","21","Maresme","Metropolità","AT01",16559,12925,14117,10135,17497,95,74,81,58,98,83,86,64,97,79,82,61
"138",2001,"080351","Calella","21","Maresme","Metropolità","AT01",12490,10355,10166,6712,13226,94,78,77,51,97,82,81,57,96,78,78,54
"139",1996,"080351","Calella","21","Maresme","Metropolità","AT01",10955,9407,8814,5629,11470,96,82,77,49,97,84,80,53,96,78,75,49
"140",1991,"080351","Calella","21","Maresme","Metropolità","AT01",10714,8795,8553,5658,11096,97,79,77,51,97,81,78,51,95,73,72,46
"141",2011,"080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06",200,179,197,142,200,100,90,98,71,98,86,88,66,99,91,91,72
"142",2001,"080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06",193,184,168,137,194,99,95,87,71,98,87,85,63,99,91,89,68
"143",1996,"080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06",182,181,165,107,183,99,99,90,58,98,89,84,55,99,93,88,60
"144",1991,"080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06",195,194,186,164,195,100,99,95,84,98,85,79,52,99,90,83,54
"145",2011,"080370","Calldetenes","24","Osona","Comarques Centrals","AT06",2303,2027,2041,1723,2325,99,87,88,74,99,91,91,74,99,91,91,72
"146",2001,"080370","Calldetenes","24","Osona","Comarques Centrals","AT06",1888,1768,1724,1465,1908,99,93,90,77,98,91,89,68,99,91,89,68
