"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","competencia","percentatge_comp","origen","percentatge_ori"
"54",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Escriure",70,"Estranger",10
"55",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Llegir",86,"Catalunya",77
"56",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Llegir",86,"Estat",13
"57",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Llegir",86,"Estranger",10
"58",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Parlar",85,"Catalunya",77
"59",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Parlar",85,"Estat",13
"60",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01","Parlar",85,"Estranger",10
"61",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Entendre",94,"Catalunya",69
"62",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Entendre",94,"Estat",17
"63",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Entendre",94,"Estranger",14
"64",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Escriure",60,"Catalunya",69
"65",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Escriure",60,"Estat",17
"66",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Escriure",60,"Estranger",14
"67",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Llegir",83,"Catalunya",69
"68",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Llegir",83,"Estat",17
"69",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Llegir",83,"Estranger",14
"70",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Parlar",80,"Catalunya",69
"71",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Parlar",80,"Estat",17
"72",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01","Parlar",80,"Estranger",14
"73",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Entendre",96,"Catalunya",80
"74",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Entendre",96,"Estat",12
"75",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Entendre",96,"Estranger",8
"76",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Escriure",67,"Catalunya",80
"77",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Escriure",67,"Estat",12
"78",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Escriure",67,"Estranger",8
"79",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Llegir",85,"Catalunya",80
"80",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Llegir",85,"Estat",12
"81",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Llegir",85,"Estranger",8
"82",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Parlar",85,"Catalunya",80
"83",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Parlar",85,"Estat",12
