"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","catalunya","restaEstat","estranger","total","entendre_pct","escriure_pct","llegir_pct","parlar_pct","catalunya_pct","estat_pct","estranger_pct"
"613",2011,"250925","Floresta, la",18,"Garrigues","Ponent","AT05",163,149,156,111,169,150,11,7,168,97,66,93,89,89,7,4
"614",2011,"250931","Fondarella",27,"Pla d'Urgell","Ponent","AT05",807,737,742,576,815,668,103,63,834,97,69,89,88,80,12,8
"615",2011,"250946","Foradada",23,"Noguera","Ponent","AT05",179,169,173,123,183,157,9,17,183,98,67,95,92,86,5,9
"616",2011,"250962","Fuliola, la",38,"Urgell","Ponent","AT05",1200,990,1004,723,1259,1067,85,134,1286,93,56,78,77,83,7,10
"617",2011,"250978","Fulleda",18,"Garrigues","Ponent","AT05",102,100,95,68,102,95,10,0,105,97,65,90,95,90,10,0
"618",2011,"250984","Gavet de la Conca",25,"Pallars Jussà","Alt Pirineu i Aran","AT07",305,274,251,168,310,264,21,17,302,101,56,83,91,87,7,6
"619",2011,"250997","Golmés",27,"Pla d'Urgell","Ponent","AT05",1666,1491,1509,1208,1717,1335,122,234,1691,99,71,89,88,79,7,14
"620",2011,"251001","Gósol",14,"Berguedà","Comarques Centrals","AT06",227,214,217,164,227,217,9,4,230,99,71,94,93,94,4,2
"621",2011,"251018","Granadella, la",18,"Garrigues","Ponent","AT05",687,620,604,401,711,643,27,89,759,91,53,80,82,85,4,12
"622",2011,"251023","Granja d'Escarp, la",33,"Segrià","Ponent","AT05",906,716,710,425,938,701,137,130,968,94,44,73,74,72,14,13
"623",2011,"251039","Granyanella",32,"Segarra","Ponent","AT05",146,135,125,86,146,132,11,6,149,98,58,84,91,89,7,4
"624",2011,"251044","Granyena de Segarra",32,"Segarra","Ponent","AT05",132,116,121,73,132,131,4,2,137,96,53,88,85,96,3,1
"625",2011,"251057","Granyena de les Garrigues",18,"Garrigues","Ponent","AT05",165,152,153,100,172,142,11,19,172,96,58,89,88,83,6,11
"626",2011,"251095","Guimerà",38,"Urgell","Ponent","AT05",312,294,297,183,312,278,15,27,320,98,57,93,92,87,5,8
"627",2011,"251109","Guissona",32,"Segarra","Ponent","AT05",5354,3527,3878,2764,6379,3035,477,3040,6552,82,42,59,54,46,7,46
"628",2011,"251116","Guixers",35,"Solsonès","Comarques Centrals","AT06",128,121,116,96,128,126,4,4,134,96,72,87,90,94,3,3
"629",2011,"251121","Ivars de Noguera",23,"Noguera","Ponent","AT05",356,285,324,204,359,290,31,36,357,100,57,91,80,81,9,10
"630",2011,"251137","Ivars d'Urgell",27,"Pla d'Urgell","Ponent","AT05",1462,1312,1319,1043,1602,1333,96,273,1702,86,61,77,77,78,6,16
"631",2011,"251142","Ivorra",32,"Segarra","Ponent","AT05",114,113,107,86,114,107,4,9,120,95,72,89,94,89,3,8
"632",2011,"251155","Isona i Conca Dellà",25,"Pallars Jussà","Alt Pirineu i Aran","AT07",1063,938,946,670,1065,959,44,97,1100,97,61,86,85,87,4,9
"633",2011,"251180","Juncosa",18,"Garrigues","Ponent","AT05",446,413,407,246,452,398,29,43,470,95,52,87,88,85,6,9
"634",2011,"251193","Juneda",18,"Garrigues","Ponent","AT05",3275,2749,2695,2171,3324,2603,162,717,3482,94,62,77,79,75,5,21
"635",2011,"251207","Lleida",33,"Segrià","Ponent","AT05",126697,100284,106331,77491,133387,85830,23012,29574,138416,92,56,77,72,62,17,21
"636",2011,"251214","Les",39,"Aran","Alt Pirineu i Aran","AT07",935,613,669,477,1000,560,152,293,1005,93,47,67,61,56,15,29
"637",2011,"251229","Linyola",27,"Pla d'Urgell","Ponent","AT05",2518,2221,2284,1757,2573,2157,215,340,2712,93,65,84,82,80,8,13
"638",2011,"251235","Lladorre",26,"Pallars Sobirà","Alt Pirineu i Aran","AT07",239,221,223,180,239,223,14,7,244,98,74,91,91,91,6,3
"639",2011,"251240","Lladurs",35,"Solsonès","Comarques Centrals","AT06",185,176,173,143,185,181,7,9,197,94,73,88,89,92,4,5
"640",2011,"251253","Llardecans",33,"Segrià","Ponent","AT05",493,457,462,324,501,475,27,13,515,96,63,90,89,92,5,3
"641",2011,"251266","Llavorsí",26,"Pallars Sobirà","Alt Pirineu i Aran","AT07",340,323,322,230,340,287,34,52,373,91,62,86,87,77,9,14
"642",2011,"251272","Lles de Cerdanya",15,"Cerdanya","Alt Pirineu i Aran","AT07",255,246,248,186,258,245,13,10,268,95,69,93,92,91,5,4
"643",2011,"251288","Llimiana",25,"Pallars Jussà","Alt Pirineu i Aran","AT07",177,162,165,119,177,156,17,10,183,97,65,90,89,85,9,5
"644",2011,"251291","Llobera",35,"Solsonès","Comarques Centrals","AT06",205,203,199,179,205,203,6,1,210,98,85,95,97,97,3,0
"645",2011,"251305","Maldà",38,"Urgell","Ponent","AT05",227,201,194,149,227,226,16,8,250,91,60,78,80,90,6,3
"646",2011,"251312","Massalcoreig",33,"Segrià","Ponent","AT05",544,503,485,344,555,440,56,85,581,94,59,83,87,76,10,15
"647",2011,"251327","Massoteres",32,"Segarra","Ponent","AT05",195,182,185,130,195,159,9,37,205,95,63,90,89,78,4,18
"648",2011,"251333","Maials",33,"Segrià","Ponent","AT05",949,834,838,519,962,827,33,109,969,98,54,86,86,85,3,11
"649",2011,"251348","Menàrguens",23,"Noguera","Ponent","AT05",813,703,681,468,867,714,49,140,903,90,52,75,78,79,5,16
"650",2011,"251351","Miralcamp",27,"Pla d'Urgell","Ponent","AT05",1366,1251,1182,946,1393,1200,96,133,1429,96,66,83,88,84,7,9
"651",2011,"251364","Molsosa, la",35,"Solsonès","Comarques Centrals","AT06",115,115,111,87,115,110,2,4,116,99,75,96,99,95,2,3
"652",2011,"251370","Mollerussa",27,"Pla d'Urgell","Ponent","AT05",13657,10746,11279,8449,14266,8954,1619,4132,14705,93,57,77,73,61,11,28
