Municipi,Nom comarca,Àmbit territorial,Descàrrega
Mediona,Alt Penedès,Penedès,#català947 Mediona
Menàrguens,Noguera,Ponent,#català947 Menàrguens
Meranges,Cerdanya,Alt Pirineu i Aran,#català947 Meranges
Mieres,Garrotxa,Comarques Gironines,#català947 Mieres
"Milà, el",Alt Camp,Camp de Tarragona,"#català947 Milà, el"
Miralcamp,Pla d'Urgell,Ponent,#català947 Miralcamp
Miravet,Ribera d'Ebre,Terres de l'Ebre,#català947 Miravet
Moià,Moianès,Comarques Centrals,#català947 Moià
"Molar, el",Priorat,Camp de Tarragona,"#català947 Molar, el"
Molins de Rei,Baix Llobregat,Metropolità,#català947 Molins de Rei
Mollerussa,Pla d'Urgell,Ponent,#català947 Mollerussa
Mollet de Peralada,Alt Empordà,Comarques Gironines,#català947 Mollet de Peralada
Mollet del Vallès,Vallès Oriental,Metropolità,#català947 Mollet del Vallès
Molló,Ripollès,Comarques Gironines,#català947 Molló
"Molsosa, la",Solsonès,Comarques Centrals,"#català947 Molsosa, la"
Monistrol de Calders,Moianès,Comarques Centrals,#català947 Monistrol de Calders
Monistrol de Montserrat,Bages,Comarques Centrals,#català947 Monistrol de Montserrat
Montagut i Oix,Garrotxa,Comarques Gironines,#català947 Montagut i Oix
Montblanc,Conca de Barberà,Camp de Tarragona,#català947 Montblanc
Montbrió del Camp,Baix Camp,Camp de Tarragona,#català947 Montbrió del Camp
Montcada i Reixac,Vallès Occidental,Metropolità,#català947 Montcada i Reixac
Montclar,Berguedà,Comarques Centrals,#català947 Montclar
Montellà i Martinet,Cerdanya,Alt Pirineu i Aran,#català947 Montellà i Martinet
Montesquiu,Osona,Comarques Centrals,#català947 Montesquiu
Montferrer i Castellbò,Alt Urgell,Alt Pirineu i Aran,#català947 Montferrer i Castellbò
Montferri,Alt Camp,Camp de Tarragona,#català947 Montferri
Montgai,Noguera,Ponent,#català947 Montgai
Montgat,Maresme,Metropolità,#català947 Montgat
Montmajor,Berguedà,Comarques Centrals,#català947 Montmajor
Montmaneu,Anoia,Penedès,#català947 Montmaneu
"Montmell, el",Baix Penedès,Penedès,"#català947 Montmell, el"
Montmeló,Vallès Oriental,Metropolità,#català947 Montmeló
Montoliu de Lleida,Segrià,Ponent,#català947 Montoliu de Lleida
Montoliu de Segarra,Segarra,Ponent,#català947 Montoliu de Segarra
Montornès de Segarra,Segarra,Ponent,#català947 Montornès de Segarra
Montornès del Vallès,Vallès Oriental,Metropolità,#català947 Montornès del Vallès
Mont-ral,Alt Camp,Camp de Tarragona,#català947 Mont-ral
Mont-ras,Baix Empordà,Comarques Gironines,#català947 Mont-ras
Mont-roig del Camp,Baix Camp,Camp de Tarragona,#català947 Mont-roig del Camp
Montseny,Vallès Oriental,Metropolità,#català947 Montseny
Móra d'Ebre,Ribera d'Ebre,Terres de l'Ebre,#català947 Móra d'Ebre
Móra la Nova,Ribera d'Ebre,Terres de l'Ebre,#català947 Móra la Nova
"Morell, el",Tarragonès,Camp de Tarragona,"#català947 Morell, el"
"Morera de Montsant, la",Priorat,Camp de Tarragona,"#català947 Morera de Montsant, la"
Muntanyola,Osona,Comarques Centrals,#català947 Muntanyola
Mura,Bages,Comarques Centrals,#català947 Mura
Nalec,Urgell,Ponent,#català947 Nalec
Naut Aran,Aran,Alt Pirineu i Aran,#català947 Naut Aran
Navarcles,Bages,Comarques Centrals,#català947 Navarcles
Navàs,Bages,Comarques Centrals,#català947 Navàs
Navata,Alt Empordà,Comarques Gironines,#català947 Navata
Navès,Solsonès,Comarques Centrals,#català947 Navès
"Nou de Berguedà, la",Berguedà,Comarques Centrals,"#català947 Nou de Berguedà, la"
"Nou de Gaià, la",Tarragonès,Camp de Tarragona,"#català947 Nou de Gaià, la"
Nulles,Alt Camp,Camp de Tarragona,#català947 Nulles
Odèn,Solsonès,Comarques Centrals,#català947 Odèn
Òdena,Anoia,Penedès,#català947 Òdena
Ogassa,Ripollès,Comarques Gironines,#català947 Ogassa
Olèrdola,Alt Penedès,Penedès,#català947 Olèrdola
Olesa de Bonesvalls,Alt Penedès,Penedès,#català947 Olesa de Bonesvalls
Olesa de Montserrat,Baix Llobregat,Metropolità,#català947 Olesa de Montserrat
Oliana,Alt Urgell,Alt Pirineu i Aran,#català947 Oliana
Oliola,Noguera,Ponent,#català947 Oliola
Olius,Solsonès,Comarques Centrals,#català947 Olius
Olivella,Garraf,Penedès,#català947 Olivella
Olost,Osona,Comarques Centrals,#català947 Olost
Olot,Garrotxa,Comarques Gironines,#català947 Olot
"Oluges, les",Segarra,Ponent,"#català947 Oluges, les"
Olvan,Berguedà,Comarques Centrals,#català947 Olvan
"Omellons, els",Garrigues,Ponent,"#català947 Omellons, els"
"Omells de na Gaia, els",Urgell,Ponent,"#català947 Omells de na Gaia, els"
Ordis,Alt Empordà,Comarques Gironines,#català947 Ordis
Organyà,Alt Urgell,Alt Pirineu i Aran,#català947 Organyà
Orís,Osona,Comarques Centrals,#català947 Orís
Oristà,Osona,Comarques Centrals,#català947 Oristà
Orpí,Anoia,Penedès,#català947 Orpí
Òrrius,Maresme,Metropolità,#català947 Òrrius
Os de Balaguer,Noguera,Ponent,#català947 Os de Balaguer
Osor,Selva,Comarques Gironines,#català947 Osor
Ossó de Sió,Urgell,Ponent,#català947 Ossó de Sió
Pacs del Penedès,Alt Penedès,Penedès,#català947 Pacs del Penedès
Palafolls,Maresme,Metropolità,#català947 Palafolls
Palafrugell,Baix Empordà,Comarques Gironines,#català947 Palafrugell
Palamós,Baix Empordà,Comarques Gironines,#català947 Palamós
"Palau d'Anglesola, el",Pla d'Urgell,Ponent,"#català947 Palau d'Anglesola, el"
Palau de Santa Eulàlia,Alt Empordà,Comarques Gironines,#català947 Palau de Santa Eulàlia
Palau-sator,Baix Empordà,Comarques Gironines,#català947 Palau-sator
Palau-saverdera,Alt Empordà,Comarques Gironines,#català947 Palau-saverdera
Palau-solità i Plegamans,Vallès Occidental,Metropolità,#català947 Palau-solità i Plegamans
"Pallaresos, els",Tarragonès,Camp de Tarragona,"#català947 Pallaresos, els"
Pallejà,Baix Llobregat,Metropolità,#català947 Pallejà
"Palma de Cervelló, la",Baix Llobregat,Metropolità,"#català947 Palma de Cervelló, la"
"Palma d'Ebre, la",Ribera d'Ebre,Terres de l'Ebre,"#català947 Palma d'Ebre, la"
Palol de Revardit,Pla de l'Estany,Comarques Gironines,#català947 Palol de Revardit
Pals,Baix Empordà,Comarques Gironines,#català947 Pals
"Papiol, el",Baix Llobregat,Metropolità,"#català947 Papiol, el"
Pardines,Ripollès,Comarques Gironines,#català947 Pardines
Parets del Vallès,Vallès Oriental,Metropolità,#català947 Parets del Vallès
Parlavà,Baix Empordà,Comarques Gironines,#català947 Parlavà
Passanant i Belltall,Conca de Barberà,Camp de Tarragona,#català947 Passanant i Belltall
Pau,Alt Empordà,Comarques Gironines,#català947 Pau
Paüls,Baix Ebre,Terres de l'Ebre,#català947 Paüls
Pedret i Marzà,Alt Empordà,Comarques Gironines,#català947 Pedret i Marzà
Penelles,Noguera,Ponent,#català947 Penelles
"Pera, la",Baix Empordà,Comarques Gironines,"#català947 Pera, la"
Perafita,Osona,Comarques Centrals,#català947 Perafita
Perafort,Tarragonès,Camp de Tarragona,#català947 Perafort
Peralada,Alt Empordà,Comarques Gironines,#català947 Peralada
Peramola,Alt Urgell,Alt Pirineu i Aran,#català947 Peramola
"Perelló, el",Baix Ebre,Terres de l'Ebre,"#català947 Perelló, el"
Piera,Anoia,Penedès,#català947 Piera
"Piles, les",Conca de Barberà,Camp de Tarragona,"#català947 Piles, les"
